City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port arthur,38.8,121.2667,6.12,66,51,13.28,CN,1699493730
1,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,73,20,9.39,RU,1699493446
2,bilibino,68.0546,166.4372,-15.31,94,100,1.09,RU,1699493731
3,fale old settlement,-9.3852,-171.2468,28.86,69,93,4.84,TK,1699493731
4,kodinsk,58.6881,99.1844,-16.42,93,18,0.77,RU,1699493732
5,tindouf,27.6711,-8.1474,19.12,31,0,4.93,DZ,1699493732
6,chibougamau,49.9168,-74.3659,-13.21,85,0,2.57,CA,1699493542
7,port douglas,-16.4833,145.4667,26.57,67,22,4.17,AU,1699493733
8,college,64.8569,-147.8028,-1.01,66,75,4.12,US,1699493580
9,st. john's,47.5649,-52.7093,7.21,99,100,2.06,CA,1699493650
10,mascote,-15.5631,-39.3025,19.29,90,0,0.84,BR,1699493733
11,olonkinbyen,70.9221,-8.7187,-0.48,74,98,4.25,SJ,1699493734
12,albany,42.6001,-73.9662,2.23,64,100,0.71,US,1699493663
13,raghunathpur,23.55,86.6667,22.02,47,4,1.97,IN,1699493734
14,brezina,33.0989,1.2608,13.25,44,96,3.07,DZ,1699493735
15,cururupu,-1.8283,-44.8683,25.06,87,100,2.0,BR,1699493735
16,buta,2.7858,24.73,21.38,100,100,1.19,CD,1699493736
17,midland,31.9974,-102.0779,26.37,38,0,2.57,US,1699493570
18,ketchikan,55.3422,-131.6461,11.99,81,100,13.38,US,1699493736
19,udachny,66.4167,112.4,-20.14,88,78,3.02,RU,1699493737
20,waitangi,-43.9535,-176.5597,10.74,76,40,11.78,NZ,1699493737
21,iqaluit,63.7506,-68.5145,-8.15,73,75,7.2,CA,1699493737
22,trenggalek,-8.05,111.7167,31.35,53,92,3.15,ID,1699493738
23,port hedland,-20.3167,118.5667,31.03,62,0,3.6,AU,1699493738
24,port elizabeth,-33.918,25.5701,13.51,82,0,2.06,ZA,1699493738
25,paraiso,9.8383,-83.8656,20.79,95,87,1.63,CR,1699493739
26,daru,-9.0763,143.2092,28.6,61,63,4.85,PG,1699493739
27,wailua homesteads,22.0669,-159.378,27.24,77,40,4.63,US,1699493739
28,punta arenas,-53.15,-70.9167,6.06,65,40,6.17,CL,1699493538
